corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00453804,엔에이치아문디자산운용,,E,증권신고서(집합투자증권-신탁형)(NH-Amundi글로벌멀티세븐올인원목표전환형증권투자신탁[채권혼합-파생형][운용전환일이후]NH-Amundi채권목표전환형증권투자신탁5호[채권]),20200207000268,엔에이치아문디자산운용,20200207,정
00686776,BNK자산운용,,E,증권신고서(집합투자증권-신탁형)(BNK더블리자드지수연계증권투자신탁SEN-3호(ELS-파생형)),20200207000315,BNK자산운용,20200207,정
00405463,에이치디씨자산운용,,E,증권신고서(집합투자증권-신탁형)(HDC트와이스리자드지수연계증권투자신탁SHE-76호(ELS-파생형)),20200207000752,에이치디씨자산운용,20200207,정
00405463,에이치디씨자산운용,,E,증권신고서(집합투자증권-신탁형)(HDC트리플리자드지수연계증권투자신탁SEN-5호(ELS-파생형)),20200207000730,에이치디씨자산운용,20200207,정
00405463,에이치디씨자산운용,,E,증권신고서(집합투자증권-신탁형)(HDC인피니티리자드지수연계증권투자신탁SEN-9호(ELS-파생형)),20200207000726,에이치디씨자산운용,20200207,정
00405463,에이치디씨자산운용,,E,증권신고서(집합투자증권-신탁형)(HDC투타임즈리자드지수연계증권투자신탁KSE-24호(ELS-파생형)),20200207000722,에이치디씨자산운용,20200207,정
00405463,에이치디씨자산운용,,E,증권신고서(집합투자증권-신탁형)(HDC3INDEX지수연계증권투자신탁SEC-2호(온라인전용)(ELS-파생형)),20200207000701,에이치디씨자산운용,20200207,정
00260514,브이아이자산운용,,E,증권신고서(집합투자증권-신탁형)(브이아이지수연계증권투자신탁SEK-12호[ELS-파생형]),20200207000542,브이아이자산운용,20200207,정
00685935,메리츠자산운용,,E,증권신고서(집합투자증권-신탁형)(메리츠지수연계트리플플러스증권투자신탁SEN-13호(온라인전용)[ELS-파생형]),20200207000174,메리츠자산운용,20200207,정
00241342,멀티에셋자산운용,,E,증권신고서(집합투자증권-신탁형)(멀티에셋2년만기증권투자신탁제7호[채권]),20200207000024,멀티에셋자산운용,20200207,정
00241388,디비자산운용,,E,증권신고서(집합투자증권-신탁형)(DB3STAR지수연계증권투자신탁SEC-4호(USD)[ELS-파생형]),20200207000284,디비자산운용,20200207,정
00241388,디비자산운용,,E,증권신고서(집합투자증권-신탁형)(DB3STAR트리플리자드증권투자신탁SEN-7호[ELS-파생형]),20200207000273,디비자산운용,20200207,정
00241388,디비자산운용,,E,증권신고서(집합투자증권-신탁형)(DB3STAR리자드증권투자신탁SNE-8호[ELS-파생형]),20200207000267,디비자산운용,20200207,정
00267331,KTB자산운용,,E,증권신고서(집합투자증권-신탁형)(KTB리자드지수연계증권투자신탁SNE-1호[ELS-파생형]),20200207000431,KTB자산운용,20200207,정
